순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,롯데,17,25.17,623,1,0,144,80,62,39,59,1287.1,701,653,5634,1357,245,20,162,477,25,79,1096,7,67,4.57,4.91,1.43,110.4,102.6,25.17,-3.64
2,두산,17,21.48,590,3,2,144,84,57,35,46,1288,678,627,5682,1405,234,31,125,464,11,87,956,4,54,4.38,4.77,1.45,109.9,101.2,21.48,-3.94
3,KIA,17,19.33,582,5,2,144,87,56,33,46,1290,743,691,5748,1518,255,21,137,434,22,77,985,4,69,4.82,4.73,1.51,103.1,105.5,19.33,-5.01
4,LG,17,19.16,619,4,1,144,69,72,32,66,1279,677,614,5507,1305,249,29,124,379,31,102,1040,3,81,4.32,4.43,1.32,112,109.1,19.16,-5.25
5,넥센,17,18.48,554,2,1,144,69,73,40,66,1271,764,714,5663,1488,280,21,149,388,10,97,1005,3,56,5.06,4.8,1.48,98.4,102.1,18.48,-12.17
6,SK,17,17.22,608,2,1,144,75,68,30,64,1270.2,767,710,5692,1443,271,17,154,481,35,105,940,7,61,5.03,5.13,1.51,100.1,98.6,17.22,-9.09
7,NC,17,16.45,620,1,0,144,79,62,32,51,1284.2,745,673,5640,1342,208,9,169,470,12,93,1097,3,93,4.71,5.02,1.41,105.3,99.6,16.45,-3.91
8,한화,17,13.7,634,1,0,144,61,81,31,49,1273,820,749,5698,1474,278,16,166,446,13,100,914,4,77,5.3,5.25,1.51,95,96.4,13.7,-18.16
9,kt,17,13.18,588,4,2,144,50,94,22,41,1256,876,806,5702,1524,283,27,174,433,11,95,913,6,77,5.78,5.32,1.56,87.8,93.8,13.18,-19.75
10,삼성,17,6.78,613,1,0,144,55,84,27,34,1281.1,911,840,5916,1541,281,28,187,548,15,118,1063,4,74,5.9,5.5,1.63,86,91.7,6.78,-20.24
